ReturnYear,MgmtStock,BelowBon,Type,Fin_Clip,Age,Sum of N fish
2022,BPH,Y,Treaty Commercial,(blank),4,4.371102603
2022,URB,N,Escapement,ad,2,7798.2331
2022,URB,N,Escapement,ad,3,23361.97843
2022,URB,N,Escapement,ad,4,7887.693437
2022,URB,N,Escapement,ad,5,2668.765271
2022,URB,N,Escapement,um,2,14910.24946
2022,URB,N,Escapement,um,3,32056.35719
2022,URB,N,Escapement,um,4,26577.13328
2022,URB,N,Escapement,um,5,17712.06831
2022,URB,N,Escapement,(blank),2,268
2022,URB,N,Escapement,(blank),3,1896
2022,URB,N,Misc Tribal,um,2,52
2022,URB,N,Misc Tribal,um,3,250
2022,URB,N,Misc Tribal,um,4,155
2022,URB,N,Misc Tribal,um,5,91
2022,URB,N,Misc Tribal,(blank),3,26
2022,URB,N,Misc Tribal,(blank),4,43
2022,URB,N,Misc Tribal,(blank),5,29
2022,URB,N,Missing Fish,(blank),2,807.9753017
2022,URB,N,Missing Fish,(blank),3,1703.236203
2022,URB,N,Missing Fish,(blank),4,2277.233632
2022,URB,N,Missing Fish,(blank),5,1053.368192
2022,URB,N,Missing Fish,(blank),6,0.289888194
2022,URB,N,Sport Fishery,(blank),2,1262
2022,URB,N,Sport Fishery,(blank),3,6594.092723
2022,URB,N,Sport Fishery,(blank),4,7376.982701
2022,URB,N,Sport Fishery,(blank),5,1741.601771
2022,URB,N,Sport Fishery,(blank),6,29
2022,URB,N,Treaty Commercial,(blank),2,26.98854086
2022,URB,N,Treaty Commercial,(blank),3,5095.163753
2022,URB,N,Treaty Commercial,(blank),4,15560.87281
2022,URB,N,Treaty Commercial,(blank),5,7207.683306
2022,URB,Y,Non-tribal Commercial,(blank),2,156.8412506
2022,URB,Y,Non-tribal Commercial,(blank),3,910.5192016
2022,URB,Y,Non-tribal Commercial,(blank),4,2017.163315
2022,URB,Y,Non-tribal Commercial,(blank),5,2131.30841
2022,URB,Y,Sport Fishery,(blank),2,835.5488971
2022,URB,Y,Sport Fishery,(blank),3,2970.336793
2022,URB,Y,Sport Fishery,(blank),4,3865.872169
2022,URB,Y,Sport Fishery,(blank),5,5738.441546
2022,URB,Y,Treaty Commercial,(blank),3,1.048853323
2022,URB,Y,Treaty Commercial,(blank),4,3.200186713
2022,URB,Y,Treaty Commercial,(blank),5,2.279808788
2022,URB-S,N,Escapement,ad,2,4222.542044
2022,URB-S,N,Escapement,ad,3,15521.12852
2022,URB-S,N,Escapement,ad,4,16744.7112
2022,URB-S,N,Escapement,ad,5,1162.896751
2022,URB-S,N,Escapement,ad,6,38
2022,URB-S,N,Escapement,um,2,919.3027523
2022,URB-S,N,Escapement,um,3,7981.473394
2022,URB-S,N,Escapement,um,4,5260.921101
2022,URB-S,N,Escapement,um,5,466.3027523
2022,URB-S,N,Escapement,(blank),3,244.8454331
2022,URB-S,N,Escapement,(blank),4,67.20437998
2022,URB-S,N,Escapement,(blank),5,9.450470615
2022,URB-S,N,Missing Fish,(blank),2,348.3331551
2022,URB-S,N,Missing Fish,(blank),3,1817.551468
2022,URB-S,N,Missing Fish,(blank),4,2194.249789
2022,URB-S,N,Missing Fish,(blank),5,190.3086776
2022,URB-S,N,Missing Fish,(blank),6,4.416829991
2022,URB-S,N,Sport Fishery,(blank),2,89.39132608
2022,URB-S,N,Sport Fishery,(blank),3,726.1310574
2022,URB-S,N,Sport Fishery,(blank),4,975.9738865
2022,URB-S,N,Treaty Commercial,(blank),2,87.05748049
2022,URB-S,N,Treaty Commercial,(blank),3,3431.074779
2022,URB-S,N,Treaty Commercial,(blank),4,8836.251897
2022,URB-S,N,Treaty Commercial,(blank),5,1061.948508
2022,URB-S,N,Treaty Commercial,(blank),6,24.53707727
2022,URB-S,Y,Escapement,ad,4,2.949371862
2022,URB-S,Y,Non-tribal Commercial,(blank),2,3.988365412
2022,URB-S,Y,Non-tribal Commercial,(blank),3,899.1866173
2022,URB-S,Y,Non-tribal Commercial,(blank),4,2459.673545
2022,URB-S,Y,Non-tribal Commercial,(blank),5,129.6226189
2022,URB-S,Y,Sport Fishery,(blank),2,150.9665953
2022,URB-S,Y,Sport Fishery,(blank),3,1935.416305
2022,URB-S,Y,Sport Fishery,(blank),4,3302.658153
2022,URB-S,Y,Sport Fishery,(blank),5,368.5623854
2022,URB-S,Y,Treaty Commercial,(blank),2,12.17954397
2022,URB-S,Y,Treaty Commercial,(blank),3,0.847456469
2022,URB-S,Y,Treaty Commercial,(blank),4,1.991196897
